id,first_name,last_name,email,gender,prev_company,linkedin_profile,remote,locations,diversity_lgbtq,diversity_disabled,diversity_minority,sustainability_pref,layoff_time,interest_roles,role,summary,keywords,exp_years
135,Danice,O' Mullan,domullan3q@hexun.com,Female,EBAY STORE-Website Design Company In UK Web Development Company In UK,https://www.linkedin.com/in/Danice_O' Mullan,True,Belfast,False,False,True,True,2022-10-21 20:50:20.608591,375,Web Developer," I am a web developer with over 10 years of experience. I have a strong background in HTML, CSS, JavaScript, and PHP. I have worked on a variety of projects ranging from small personal websites to large corporate websites. I am also well-versed in content management systems such as WordPress and Joomla. I am always learning new technologies and am currently learning about responsive design and mobile development.",websites;learning;development;web;developer;years;experience;strong;background;html;mobile development;web developer;strong background;html css;css javascript;projects ranging;small personal;large corporate;content management;management systems,10
136,Gabi,Simmonett,gsimmonett3r@marriott.com,Male,"SCISYS UK Ltd, Bristol",https://www.linkedin.com/in/Gabi_Simmonett,True,Leicester,False,True,True,False,2022-03-19 20:50:20.608591,322;90;201,Senior Software Engineer," with 5+ years of experience in developing web applications I am a senior software engineer with over 5 years of experience in developing web applications. I have a strong background in JavaScript, HTML, and CSS, and have worked with a variety of frameworks and libraries such as React, Angular, and Node.js. I am also proficient in database management, and have worked with both relational and non-relational databases such as MySQL, MongoDB, and PostgreSQL. In addition to my technical skills, I have excellent communication and interpersonal skills, and I am a quick learner who is always eager to take on new challenges.",experience;developing;web;applications;worked;years;relational;skills;challenges;senior;developing web;web applications;senior software;software engineer;strong background;javascript html;react angular;mysql mongodb;excellent communication;quick learner,5
137,Torin,Duffy,tduffy3s@vistaprint.com,Male,SAP (UK) Ltd.  Knutsford,https://www.linkedin.com/in/Torin_Duffy,True,Manchester,False,False,True,True,2022-08-20 20:50:20.608591,65,Product Manager, Product Manager with over 10 years of experience in the technology industry. Strong track record of driving product strategy and delivering results. Experience in leading cross-functional teams and working closely with customers and stakeholders.  Product Manager with over 10 years of experience in the technology industry. Strong track record of driving product strategy and delivering results. Experience in leading cross-functional teams and working closely with customers and stakeholders.  Key skills: -Product management -Product development -Product strategy -Roadmap development -Requirements gathering -Market research -Competitive analysis -Customer interviews -User experience -UX design -Wireframing -Prototyping -User testing -Feedback analysis -Feature,experience;product;strategy;manager;years;technology;industry;strong;track;record;technology industry;industry strong;strong track;track record;delivering results;leading cross;cross functional;functional teams;working closely;results experience,20
138,Vilma,Moon,vmoon3t@google.fr,Female,Scott Logic,https://www.linkedin.com/in/Vilma_Moon,True,Bristol,True,False,True,False,2022-07-28 20:50:20.608591,14;368;59;244,Product Manager," Product Manager with over 10 years of experience in the technology sector. Proven track record of successfully launching and managing products from inception to launch. Expert in market research, competitive analysis, and product development. Strong leadership and communication skills.",skills;product;manager;years;experience;technology;sector;proven;track;record;communication skills;technology sector;sector proven;proven track;track record;successfully launching;launch expert;market research;research competitive;competitive analysis,10
139,Abey,Bengefield,abengefield3u@studiopress.com,Male,Mobile Application Development Company In Uk,https://www.linkedin.com/in/Abey_Bengefield,True,Glasgow,False,False,True,False,2023-01-30 20:50:20.608591,97;57;307;228,Data Analyst," I am a data analyst with over 10 years of experience in the field. I have a strong background in statistical analysis and data mining, and I am proficient in a variety of programming languages and software tools. I have a proven track record of success in providing valuable insights and recommendations to clients based on data analysis. I am also skilled in communicating complex information in a clear and concise manner.",data;analysis;manner;analyst;years;experience;field;strong;background;statistical;concise manner;strong background;programming languages;software tools;proven track;track record;providing valuable;valuable insights;clients based;communicating complex,10
140,Oliver,Smaling,osmaling3v@creativecommons.org,Male,DCSL Software Limited,https://www.linkedin.com/in/Oliver_Smaling,False,Southampton/Portsmouth,False,False,True,True,2023-01-26 20:50:20.608591,347;46;14,Machine Learning Engineer," I am a machine learning engineer with over 5 years of experience in the field. I have a strong background in developing and implementing machine learning algorithms, as well as in data analysis and modeling. I am also proficient in a variety of programming languages, including Python, R, and C++. In my previous roles, I have worked on a variety of projects involving natural language processing, image recognition, and predictive modeling. I am also skilled in working with large datasets and in developing data pipelines.",variety;machine;learning;developing;modeling;data;pipelines;engineer;years;experience;machine learning;data pipelines;learning engineer;implementing machine;learning algorithms;predictive modeling;developing data;strong background;including python;previous roles,5
141,Auberta,Vankin,avankin3w@washington.edu,Female,CDL,https://www.linkedin.com/in/Auberta_Vankin,True,Cardiff,True,False,True,True,2022-07-15 20:50:20.608591,166,Product Manager," Product Manager with over 10 years of experience in the technology sector. Extensive experience in product development, product marketing, and product strategy. Proven track record of successfully launching and managing products in the technology sector. Expertise in product development processes, including market research, product design, and product launch.  Product Manager with over 10 years of experience in the technology sector. Extensive experience in product development, product marketing, and product strategy. Proven track record of successfully launching and managing products in the technology sector. Expertise in product development processes, including market research, product design, and product launch.",product;technology;experience;sector;development;products;manager;years;extensive;marketing;technology sector;product development;development product;sector extensive;extensive experience;sector expertise;development processes;product manager;product marketing;product strategy,20
142,Em,Jickells,ejickells3x@cocolog-nifty.com,Male,INGIC  Mobile App Development Company London,https://www.linkedin.com/in/Em_Jickells,True,London,False,False,False,True,2022-05-25 20:50:20.608591,351;44,Product Manager," Product Manager with 5+ years of experience in the technology sector. Expert in product lifecycle management, from strategic planning to execution. Strong leader and motivator with a track record of delivering results.",results;product;manager;years;experience;technology;sector;expert;lifecycle;management;delivering results;technology sector;sector expert;lifecycle management;strategic planning;execution strong;strong leader;track record;product manager;product lifecycle,4
143,Wash,Hegge,whegge3y@sogou.com,Male,Chester Apps,https://www.linkedin.com/in/Wash_Hegge,True,London,True,True,True,True,2022-05-07 20:50:20.608591,23;208;263;43,Software Engineer," I am a software engineer with over 10 years of experience in the field. I have a strong background in developing web applications and am well-versed in a variety of programming languages and technologies. I have worked on a variety of projects, ranging from small startups to large enterprise systems. I am a quick learner and am always up for a challenge.",variety;challenge;software;engineer;years;experience;field;strong;background;developing;software engineer;strong background;developing web;web applications;programming languages;projects ranging;small startups;large enterprise;enterprise systems;quick learner,10
144,Anselm,Hayles,ahayles3z@nature.com,Male,Neontribe,https://www.linkedin.com/in/Anselm_Hayles,True,Glasgow,True,False,True,False,2022-05-20 20:50:20.608591,324;319;328,Web Developer," I am a web developer with over 10 years of experience in the field. I have a strong background in HTML, CSS, JavaScript, and PHP. I am also proficient in Drupal, WordPress, and other content management systems. In my previous roles, I have worked on a variety of projects for clients in both the public and private sectors. I have a passion for developing user-friendly websites that are both visually appealing and functional. I am always up to date on the latest trends and technologies in the field, and I am constantly learning new skills to stay ahead of the curve.",field;curve;web;developer;years;experience;strong;background;html;css;web developer;strong background;html css;css javascript;drupal wordpress;content management;management systems;previous roles;private sectors;developing user,10
145,Armstrong,Griswood,agriswood40@seattletimes.com,Male,Output Digital,https://www.linkedin.com/in/Armstrong_Griswood,True,Leicester,True,False,True,False,2022-02-14 20:50:20.608591,196;341,Software Engineer," I am a software engineer with over 10 years of experience in the field. I have a strong background in developing web applications, and have worked on a variety of projects in both the public and private sectors. I am also skilled in working with a variety of programming languages, including Java, JavaScript, and Python. In my previous roles, I have successfully led development teams and worked closely with clients to ensure that their needs are met and their expectations are exceeded. I am confident that I would be a valuable asset to any team.",variety;worked;software;engineer;years;experience;field;strong;background;developing;software engineer;strong background;developing web;web applications;private sectors;programming languages;languages including;including java;java javascript;previous roles,10
146,Herschel,Caltera,hcaltera41@blinklist.com,Male,Sun Microsystems Ltd.  Manchester,https://www.linkedin.com/in/Herschel_Caltera,True,Newcastle upon Tyne,True,False,True,True,2023-01-08 20:50:20.608591,362;335;191;135,Software Engineer," I am a software engineer with over 10 years of experience in the industry. I have a strong background in Java and Python, and have worked on a variety of projects in both fields. I am also proficient in JavaScript and have worked on a number of front-end development projects. In my previous roles, I have been responsible for developing and maintaining software systems, as well as providing support and guidance to other team members. I am a quick learner and have always been able to pick up new technologies and concepts quickly. I am also a strong team player and have worked effectively with both local and remote teams in the past.",worked;strong;projects;software;team;past;engineer;years;experience;industry;worked effectively;strong background;development projects;strong team;front end;end development;previous roles;providing support;quick learner;concepts quickly,10
147,Leelah,Stallan,lstallan42@devhub.com,Female,Chelsea Apps Factory,https://www.linkedin.com/in/Leelah_Stallan,True,Manchester,False,True,True,True,2022-05-05 20:50:20.608591,92,Senior Manager IT," Senior Manager with over 10 years of experience in the IT industry. Extensive experience in project and program management, process improvement, and team leadership. Proven track record of delivering complex projects on time and within budget. Strong communication and interpersonal skills, with the ability to build and maintain effective working relationships with team members and stakeholders.",experience;team;senior;stakeholders;manager;years;industry;extensive;program;management;senior manager;extensive experience;industry extensive;program management;management process;process improvement;leadership proven;proven track;track record;delivering complex,10
148,Phelia,Sabban,psabban43@zimbio.com,Female,INGIC  Mobile App Development Company London,https://www.linkedin.com/in/Phelia_Sabban,True,Liverpool,False,False,True,False,2022-04-06 20:50:20.608591,191;245;306,Machine Learning Engineer," I am a machine learning engineer with over 5 years of experience in the field. I have a strong background in mathematics and computer science, and I am proficient in a variety of programming languages, including Python, R, and Java. I have worked on a variety of projects in the past, including developing machine learning algorithms for image classification and natural language processing, and I am currently working on a project that involves using machine learning to predict customer behavior. I am also highly skilled in data analysis and data modeling, and I have a proven track record of delivering results in a timely and efficient manner.",machine;learning;variety;including;data;manner;engineer;years;experience;field;machine learning;efficient manner;learning engineer;developing machine;learning algorithms;strong background;computer science;image classification;predict customer;customer behavior,5
149,Maxy,Mandel,mmandel44@sitemeter.com,Polygender,The Nine Software Company Ltd (Nine),https://www.linkedin.com/in/Maxy_Mandel,True,Bournemouth/Poole,True,False,True,True,2022-10-30 20:50:20.608591,118,Senior Software Engineer," I am a senior software engineer with over 10 years of experience in the field. I have a strong background in developing web applications, and have worked on a variety of projects for both small startups and large corporations. I am passionate about software development and am always looking for new challenges and opportunities to grow my skills.",software;skills;senior;engineer;years;experience;field;strong;background;developing;strong background;developing web;web applications;small startups;large corporations;senior software;software engineer;software development;software;skills,10
150,Melicent,Gait,mgait45@latimes.com,Female,Zendesk,https://www.linkedin.com/in/Melicent_Gait,True,Southampton/Portsmouth,True,False,True,True,2022-07-11 20:50:20.608591,361;95;43;89,Product Manager, Product Manager with over 10 years of experience in the software industry. Proven track record of leading cross-functional teams to deliver high-quality products. Expert in product development and management processes. Passionate about building products that solve customer problems.,problems;product;products;manager;years;experience;software;industry;proven;track;customer problems;software industry;industry proven;proven track;track record;leading cross;cross functional;functional teams;deliver high;high quality,10
151,Robinia,Champerlen,rchamperlen46@wisc.edu,Female,Design Direct UK,https://www.linkedin.com/in/Robinia_Champerlen,True,Brighton-Worthing-Littlehampton,True,True,True,True,2022-09-11 20:50:20.608591,161,Data Analyst," I am a data analyst with over 5 years of experience in the field. I have a strong background in data analysis and data mining, and I am proficient in using a variety of tools and techniques to extract and analyze data. I am also skilled in creating visualizations and reports to communicate findings to stakeholders.",data;stakeholders;analyst;years;experience;field;strong;background;analysis;mining;strong background;creating visualizations;communicate findings;data analyst;data analysis;data mining;analyze data;data;stakeholders;analyst,5
152,Addie,Ancliff,aancliff47@theglobeandmail.com,Male,Icreon UK,https://www.linkedin.com/in/Addie_Ancliff,True,Leicester,True,False,True,False,2023-01-23 20:50:20.608591,134;99;183,Senior Software Engineer," I am a senior software engineer with over 10 years of experience in the field. I have a strong background in developing web applications and have worked on a variety of projects in both the public and private sectors. In my previous roles, I have successfully led teams in the development of complex applications, and have also taken on individual responsibility for the design and implementation of key features. I am passionate about software development and am always looking for new opportunities to learn and grow in my field.",applications;software;field;development;senior;engineer;years;experience;strong;background;web applications;complex applications;strong background;developing web;private sectors;previous roles;successfully led;led teams;individual responsibility;key features,10
153,Sophie,Folshom,sfolshom48@google.com,Female,amdocs UK Ltd,https://www.linkedin.com/in/Sophie_Folshom,True,London,False,False,False,True,2022-09-06 20:50:20.608591,118;216,Machine Learning Engineer," I am a machine learning engineer with over 5 years of experience in the field. I have a strong background in data science and machine learning, and have worked on a variety of projects in both industry and academia. I am highly skilled in developing and implementing machine learning algorithms, and have a proven track record of delivering high-quality results. I am also an expert in data analysis and modeling, and have a deep understanding of statistical methods and techniques.",machine;learning;data;techniques;engineer;years;experience;field;strong;background;machine learning;learning engineer;implementing machine;learning algorithms;data science;data analysis;strong background;highly skilled;proven track;track record,5
154,Allard,Hoggan,ahoggan49@gov.uk,Male,Dassault Systémes UK Ltd,https://www.linkedin.com/in/Allard_Hoggan,False,London,True,True,False,False,2022-04-15 20:50:20.608591,233;273,Data Analyst," I am a data analyst with over 10 years of experience in the field. I have a strong background in data analysis, data modeling, and data visualization. I am also skilled in using a variety of data analysis tools, such as Excel, SPSS, and R. In my previous roles, I have been responsible for analyzing and interpreting data to identify trends and patterns, as well as developing and maintaining databases. I have also created data visualizations and reports to communicate findings to stakeholders. Overall, I have a strong understanding of data analysis and the ability to effectively communicate findings to stakeholders.",data;analysis;findings;strong;communicate;stakeholders;visualization;analyst;years;experience;communicate findings;data analysis;analysis tools;strong background;strong understanding;effectively communicate;excel spss;previous roles;identify trends;maintaining databases,10
155,Gabbie,Dobie,gdobie4a@google.pl,Female,Pocket App Ltd,https://www.linkedin.com/in/Gabbie_Dobie,True,West Yorkshire,False,False,True,True,2022-03-02 20:50:20.608591,277;185;132,Senior Manager IT," senior manager with over 20 years of experience directing IT strategy, teams, and initiatives for major corporations. Expertise in directing all phases of the IT project lifecycle, from initial concept and development through implementation and support. Proven ability to lead and motivate cross-functional teams to achieve project goals and meet tight deadlines. As a senior manager, I have over 20 years of experience directing IT strategy, teams, and initiatives for major corporations. I am an expert in directing all phases of the IT project lifecycle, from initial concept and development through implementation and support. I have a proven ability to lead and motivate cross-functional teams to achieve project goals and meet tight deadlines.",directing;teams;project;years;experience;strategy;initiatives;major;phases;lifecycle;experience directing;strategy teams;project lifecycle;functional teams;achieve project;project goals;initial concept;motivate cross;cross functional;meet tight,40
156,Letta,Bohlin,lbohlin4b@dailymail.co.uk,Female,IRIS Business Software,https://www.linkedin.com/in/Letta_Bohlin,False,Birmingham,True,False,False,True,2022-05-28 20:50:20.608591,384;329;116,Product Manager," I am a product manager with over 10 years of experience in the technology industry. I have a strong background in product development and management, and I am passionate about building products that solve customer problems.  In my previous role, I was responsible for the development and launch of a new product line for my company. I worked closely with the engineering team to define the product requirements and roadmap, and I led the marketing and sales efforts for the product. The product was a success and helped to drive growth for the company.  I am currently looking for a new opportunity where I can use my skills and experience to make a positive impact on a company's product strategy. I am confident that I would be a valuable asset to any team.",product;company;development;experience;team;manager;years;technology;industry;strong;technology industry;strong background;solve customer;customer problems;previous role;worked closely;sales efforts;drive growth;positive impact;valuable asset,10
157,Carie,Enefer,cenefer4c@jigsy.com,Female,Box UK Ltd,https://www.linkedin.com/in/Carie_Enefer,True,Glasgow,True,False,True,True,2022-09-18 20:50:20.608591,149;104;309,Senior Manager IT," senior manager with over 15 years of experience directing all phases of diverse technology projects. excellent leadership, communication, interpersonal, and problem-solving skills with the ability to bring together and manage cross-functional, cross-vendor teams to achieve desired results. seeking to utilize my expertise and abilities with a company that is committed to growth and who will value my contributions as a senior manager.",senior;manager;cross;years;experience;directing;phases;diverse;technology;projects;senior manager;experience directing;diverse technology;technology projects;projects excellent;excellent leadership;leadership communication;communication interpersonal;problem solving;solving skills,15
158,Nathanial,Itzig,nitzig4d@cmu.edu,Male,StyleTech Solutions Ltd,https://www.linkedin.com/in/Nathanial_Itzig,True,Bristol,True,False,True,False,2022-06-27 20:50:20.608591,156,Web Developer," I am a web developer with over 10 years of experience in the field. I have a strong background in developing web applications using various programming languages and technologies. I am also well-versed in managing and maintaining large-scale web projects. In my previous roles, I have worked on a variety of projects ranging from small business websites to large enterprise applications. I am currently looking for a new opportunity where I can put my skills and experience to good use.",web;experience;applications;large;projects;developer;years;field;strong;background;strong background;programming languages;previous roles;small business;business websites;maintaining large;large scale;projects ranging;large enterprise;enterprise applications,10
159,Harley,Dugall,hdugall4e@e-recht24.de,Male,"SCISYS UK Ltd, Bristol",https://www.linkedin.com/in/Harley_Dugall,True,Nottingham,False,False,True,False,2022-06-14 20:50:20.608591,119;149;215;225,Product Manager," Product Manager with 5+ years of experience in developing products from scratch. Proven track record in working with cross-functional teams to define and deliver products to market. Expert in product development, including market research, competitive analysis, and product positioning. Passionate about building products that customers love.",market;product;products;love;manager;years;experience;developing;scratch;proven;customers love;scratch proven;proven track;track record;cross functional;functional teams;development including;research competitive;competitive analysis;positioning passionate,3
160,Blake,Ivkovic,bivkovic4f@pen.io,Male,Reflexis Systems,https://www.linkedin.com/in/Blake_Ivkovic,True,Glasgow,False,False,True,True,2022-12-20 20:50:20.608591,64;161;241;328,Product Manager," I am a product manager with over 10 years of experience in the technology industry. I have a strong background in product development and management, and have successfully launched several products in the market. I am highly organized and efficient, and have a proven track record of delivering results.",results;product;manager;years;experience;technology;industry;strong;background;development;delivering results;technology industry;strong background;successfully launched;highly organized;proven track;track record;product manager;product development;results,10
161,Ofilia,Edleston,oedleston4g@slideshare.net,Female,Box UK Ltd,https://www.linkedin.com/in/Ofilia_Edleston,True,Bournemouth/Poole,False,False,True,False,2022-04-16 20:50:20.608591,200,Machine Learning Engineer," I am a machine learning engineer with over 10 years of experience in the field. I have a strong background in data science and artificial intelligence, and I am proficient in a variety of programming languages and tools. I have worked on a variety of projects in the past, including developing machine learning algorithms for image classification and natural language processing, and I have also worked on projects involving the development of predictive models. I am currently looking for a new opportunity where I can use my skills and experience to make a positive impact on the world.",variety;machine;learning;worked;experience;projects;world;engineer;years;field;machine learning;learning engineer;developing machine;learning algorithms;strong background;data science;artificial intelligence;past including;including developing;image classification,10
162,Harmonie,Dilliway,hdilliway4h@wordpress.org,Female,Brightec Ltd,https://www.linkedin.com/in/Harmonie_Dilliway,False,Leicester,False,False,False,True,2022-08-01 20:50:20.608591,387;305;122,Data Analyst," I am a data analyst with over 5 years of experience in the field. I have a strong background in data analysis and statistical modeling, and I am skilled in using a variety of data analysis tools and techniques. I am also proficient in using SQL to query and manipulate data. In my previous roles, I have worked with large and complex data sets, and I have used my skills to provide insights and recommendations to help businesses make informed decisions. I am also a quick learner and have a proven track record of taking initiative and driving projects to successful completion.",data;analysis;completion;analyst;years;experience;field;strong;background;statistical;data analysis;successful completion;analysis tools;strong background;statistical modeling;previous roles;provide insights;businesses make;make informed;informed decisions,5
163,Marney,Wherry,mwherry4i@mashable.com,Female,Oracle,https://www.linkedin.com/in/Marney_Wherry,True,Newcastle upon Tyne,False,False,True,True,2022-08-14 20:50:20.608591,28;40;194;162,Sales Manager, Sales Manager with over 10 years of experience in the industry. Extensive knowledge of the sales process and customer service. Ability to lead and motivate a team to achieve sales goals. Strong communication and interpersonal skills.  OBJECTIVE: Seeking a challenging and rewarding sales management position where I can utilize my experience and skills to contribute to the success of the organization.  SUMMARY OF QUALIFICATIONS:  -10+ years of sales experience in the industry -Proven track record of meeting and exceeding sales goals -Experience in developing and implementing sales strategies -Ability to lead and motivate a team to achieve sales goals -Strong communication and interpersonal skills -Ability to work independently and as part,sales;experience;goals;ability;skills;lead;motivate;team;achieve;strong;goals strong;strong communication;sales goals;interpersonal skills;achieve sales;goals experience;service ability;strategies ability;skills ability;industry extensive,10
164,Lisette,Puttock,lputtock4j@myspace.com,Female,Company Dynamics Software,https://www.linkedin.com/in/Lisette_Puttock,True,Southampton/Portsmouth,False,False,False,False,2022-03-16 20:50:20.608591,247,Machine Learning Engineer," I am a machine learning engineer with experience in developing and implementing machine learning algorithms. I have a strong background in mathematics and computer science, and I am proficient in programming languages such as Python and R. I have experience in developing and implementing machine learning algorithms for a variety of applications, including image recognition, natural language processing, and recommendation systems. I am also skilled in data analysis and modeling, and I have experience in working with large data sets.",machine;learning;experience;developing;implementing;algorithms;data;sets;engineer;strong;machine learning;implementing machine;learning algorithms;learning engineer;data sets;strong background;computer science;applications including;including image;image recognition,7
165,Torr,Lucien,tlucien4k@examiner.com,Male,Prima Business Solutions,https://www.linkedin.com/in/Torr_Lucien,True,Southampton/Portsmouth,True,True,True,False,2022-05-01 20:50:20.608591,349,Product Manager," I am a product manager with over 10 years of experience in the technology industry. I have a proven track record of successfully launching products and driving revenue growth. In my previous role, I was responsible for the launch of a new product line that generated $1 million in revenue in the first year. I am currently seeking a new opportunity where I can utilize my skills and experience to drive product success.",product;experience;revenue;success;manager;technology;industry;proven;track;record;technology industry;proven track;track record;successfully launching;previous role;generated million;product success;driving revenue;revenue growth;product manager,10
166,Sigfried,Ryhorovich,sryhorovich4l@1688.com,Male,Company Dynamics Software,https://www.linkedin.com/in/Sigfried_Ryhorovich,True,Manchester,False,True,True,True,2023-01-29 20:50:20.608591,104,Software Engineer," As a software engineer, I have a passion for developing and improving upon existing systems and applications. I have a strong background in software development and have worked on a variety of projects in both team and individual settings. I am also highly proficient in a variety of programming languages and software development tools.",variety;software;development;tools;engineer;passion;developing;improving;existing;systems;software development;development tools;existing systems;strong background;individual settings;highly proficient;programming languages;software engineer;variety;software,3
167,Izaak,Doley,idoley4m@whitehouse.gov,Male,Liquid Modules Ltd,https://www.linkedin.com/in/Izaak_Doley,False,Birmingham,True,False,True,False,2022-11-10 20:50:20.608591,255;369;242,Data Scientist," I am a data scientist with over 10 years of experience in the field. I have a strong background in machine learning and statistical modeling, and have worked on a variety of projects in both industry and academia. I am also highly proficient in programming languages such as Python and R, and have developed several machine learning libraries and tools. In my previous roles, I have successfully implemented machine learning models to improve the accuracy and efficiency of various business processes. I am also skilled in data visualization and presentation, and have delivered numerous presentations and reports to clients and stakeholders.",machine;learning;data;presentation;stakeholders;scientist;years;experience;field;strong;machine learning;learning libraries;implemented machine;learning models;numerous presentations;data scientist;data visualization;strong background;statistical modeling;highly proficient,10
168,Umeko,Yaus,uyaus4n@cargocollective.com,Female,Xibis,https://www.linkedin.com/in/Umeko_Yaus,True,Cardiff,True,False,True,False,2022-02-23 20:50:20.608591,300;315;19,Software Engineer," I am a software engineer with over 10 years of experience in the field. I have a strong background in developing web applications and have worked on a variety of projects in both start-up and corporate environments. In my previous roles, I have been responsible for developing new features and maintaining existing code, as well as providing technical support to clients. I am also proficient in multiple programming languages, including Java, Python, and JavaScript.",developing;javascript;software;engineer;years;experience;field;strong;background;web;software engineer;strong background;web applications;corporate environments;previous roles;maintaining existing;existing code;providing technical;technical support;multiple programming,10
169,Dorolisa,Di Giacomo,ddigiacomo4o@princeton.edu,Female,IGS Solutions,https://www.linkedin.com/in/Dorolisa_Di Giacomo,True,Cardiff,False,False,True,True,2022-07-16 20:50:20.608591,146;280,Senior Software Engineer, with 8+ years of experience in developing and maintaining web-based and windows applications Looking for a challenging and rewarding senior software engineer position that allows me to utilize my skills and experience in the development and maintenance of web-based and windows applications. I have 8+ years of experience in the field and am looking for a position that will allow me to grow and develop my skills further.,experience;based;windows;years;web;applications;position;skills;developing;maintaining;web based;windows applications;maintaining web;engineer position;rewarding senior;senior software;software engineer;experience;based;windows,5
170,Mallory,Winear,mwinear4p@accuweather.com,Female,Pivotal Software,https://www.linkedin.com/in/Mallory_Winear,True,Sheffield,True,False,False,True,2022-02-13 20:50:20.608591,238;15;256,Software Engineer," I am a software engineer with over 10 years of experience in the industry. I have a strong background in Java and Python, and have worked on a variety of projects in both development and operations. I am also well-versed in cloud computing and have experience with Amazon Web Services and Google Cloud Platform. In my previous roles, I have worked on projects for clients in the financial, healthcare, and retail industries. I am currently looking for a new opportunity where I can use my skills and experience to make a positive impact on the team and the company.",experience;worked;projects;cloud;company;software;engineer;years;industry;strong;software engineer;strong background;amazon web;web services;previous roles;financial healthcare;retail industries;positive impact;cloud computing;google cloud,10
171,Alano,Isworth,aisworth4q@comcast.net,Male,Allegro Development Corporation,https://www.linkedin.com/in/Alano_Isworth,True,Southampton/Portsmouth,False,False,True,True,2022-10-31 20:50:20.608591,11;275;106;158,Machine Learning Engineer," I am a machine learning engineer with experience in developing and optimizing machine learning algorithms for real-world applications. I have a strong background in mathematics and computer science, and I am passionate about using my skills to solve challenging problems and improve the efficiency of machine learning systems. In my previous role, I developed a machine learning model to predict customer behavior and improve the efficiency of marketing campaigns. This model resulted in a 20% increase in revenue for the company. I am also experienced in using machine learning tools and libraries such as TensorFlow and Keras to build and train models. I am confident that my skills and experience make me a strong candidate for this role.",machine;learning;improve;efficiency;strong;skills;experience;role;model;engineer;machine learning;optimizing machine;learning engineer;learning algorithms;learning systems;learning tools;strong background;strong candidate;learning model;real world,2
172,Ricky,Schimmang,rschimmang4r@yale.edu,Female,Inviqa,https://www.linkedin.com/in/Ricky_Schimmang,True,Southampton/Portsmouth,False,True,True,True,2022-06-04 20:50:20.608591,240;122,Senior Software Engineer," Senior Software Engineer with over 10 years of experience in the information technology industry. Strong knowledge of software development lifecycle (SDLC) and agile methodologies. Extensive experience in developing web applications using Java, Spring, Hibernate, and RESTful services.  In addition, I have experience in developing enterprise applications using J2EE technologies, including EJB, JMS, and JPA. I am also familiar with various software development tools, such as Eclipse, NetBeans, and IntelliJ IDEA.  I am a quick learner and have excellent problem-solving skills. I am also a good team player and have excellent communication skills.",experience;software;development;developing;applications;excellent;skills;senior;engineer;years;software development;senior software;extensive experience;development lifecycle;developing web;web applications;developing enterprise;enterprise applications;development tools;excellent problem,10
173,Sydelle,Furness,sfurness4s@quantcast.com,Female,"Pace Wisdom  Mobile App Development, Android App, iPhone app, IoS Development Company in London, UK",https://www.linkedin.com/in/Sydelle_Furness,True,Manchester,True,True,True,True,2022-02-06 20:50:20.608591,176;1;205,Data Analyst," I am a data analyst with over 10 years of experience in the field. I have a strong background in statistical analysis and data mining, and I am skilled in using a variety of software tools and techniques to analyze and interpret data. I have a proven track record of delivering high-quality results and driving data-driven decision making. I am also a strong communicator and have excellent interpersonal and collaborative skills.",data;strong;skills;analyst;years;experience;field;background;statistical;analysis;collaborative skills;strong background;strong communicator;statistical analysis;software tools;proven track;track record;delivering high;high quality;quality results,10
174,Les,Fell,lfell4t@unblog.fr,Male,Pocket Logic iPhone Development,https://www.linkedin.com/in/Les_Fell,True,London,False,False,True,False,2022-09-29 20:50:20.608591,182;12;90,System Designer," System Designer with over 5 years of experience in the IT industry. Expert in developing and implementing complex software solutions. Proven track record of delivering high-quality results on time and on budget.  Designing and implementing complex software solutions Collaborating with team members to ensure the successful delivery of projects Mentoring and training junior team members  Key Skills: System Design Software Development Project Management Agile Methodologies Requirements Gathering User Experience Testing and Debugging  Professional Experience: System Designer, August 2017 - Present TruBlue Technology Solutions, Los Angeles, CA Develop and implement complex software solutions for a variety of clients in the healthcare industry.  Design and develop",software;complex;solutions;system;implementing;experience;designer;team;members;industry;complex software;software solutions;implementing complex;team members;system designer;implement complex;software development;design software;junior team;members key,2022
175,Laverne,Doran,ldoran4u@zimbio.com,Female,Inventas Ltd www.inventas.co.uk/,https://www.linkedin.com/in/Laverne_Doran,True,Southampton/Portsmouth,True,False,True,True,2022-04-08 20:50:20.608591,104;360;338;287,Data Analyst," I am a data analyst with over 5 years of experience in the field. I have a strong background in data analysis and modeling, and I am proficient in a variety of data analysis tools and techniques. I have a proven track record of delivering high-quality insights and analysis to support decision-making and strategy development. I am also a strong communicator, with the ability to effectively present complex data and analysis to diverse audiences.",analysis;data;strong;audiences;analyst;years;experience;field;background;modeling;data analysis;diverse audiences;analysis tools;strong background;strong communicator;proven track;track record;delivering high;high quality;quality insights,5
